Customer_ID,Age,Gender,Location,Annual_Income,Browsing_Time_per_Week_Hours,Purchase_Frequency_Per_Month,Impact_of_Dynamic_Pricing_on_Purchase,Perception_of_Amazon_Revenue_Growth_due_to_Dynamic_Pricing,Perception_of_Competition_in_Amazon_Marketplace,Likely_to_Recommend_Amazon_Based_on_Pricing
51,68,Female,North America,66648,1.38,8,No Impact,Significant Growth,No Change,Highly Unlikely
52,23,Female,Australia,122790,4.26,5,Moderate Impact,Significant Growth,No Change,Likely
53,46,Male,Australia,52833,1.6,5,No Impact,No Growth,No Change,Highly Unlikely
54,29,Male,South America,26739,3.44,7,Moderate Impact,No Growth,Decreased Competition,Unlikely
55,45,Other,Australia,152221,2.34,18,Low Impact,Moderate Growth,Increased Competition,Highly Unlikely
56,66,Female,Australia,130396,14.28,6,No Impact,Negative Impact,No Change,Unlikely
57,26,Female,South America,111229,13.55,8,Low Impact,Negative Impact,No Change,Highly Unlikely
58,30,Female,Asia,184272,26.0,12,Low Impact,No Growth,Decreased Competition,Likely
59,36,Female,Australia,188471,3.68,15,Low Impact,Significant Growth,Increased Competition,Unlikely
60,60,Male,North America,184578,27.59,1,Low Impact,No Growth,No Change,Likely
61,27,Male,Europe,81335,15.91,11,No Impact,Moderate Growth,No Change,Likely
62,40,Male,Australia,130149,28.29,11,Moderate Impact,No Growth,Increased Competition,Likely
63,68,Other,Europe,73856,7.86,1,No Impact,Negative Impact,Decreased Competition,Unlikely
64,25,Other,Asia,58703,9.34,12,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
65,29,Other,North America,151416,8.61,2,Moderate Impact,Negative Impact,Increased Competition,Highly Likely
66,34,Female,Asia,29711,21.56,4,High Impact,No Growth,No Change,Likely
67,54,Male,Asia,38496,8.16,10,Low Impact,Significant Growth,No Change,Unlikely
68,46,Male,Europe,66353,23.74,1,High Impact,Significant Growth,Decreased Competition,Unlikely
69,34,Female,Australia,72599,1.24,7,High Impact,Moderate Growth,Decreased Competition,Unlikely
70,44,Other,South America,191840,12.83,17,Moderate Impact,Negative Impact,No Change,Likely
71,56,Female,South America,132927,23.41,5,No Impact,No Growth,Increased Competition,Highly Unlikely
72,39,Female,Asia,135839,12.06,19,No Impact,Negative Impact,No Change,Highly Likely
73,45,Female,Europe,167885,1.87,8,No Impact,Moderate Growth,No Change,Highly Unlikely
74,43,Female,North America,166460,14.36,11,High Impact,Moderate Growth,No Change,Highly Likely
75,20,Other,North America,171849,13.67,15,Moderate Impact,Moderate Growth,Decreased Competition,Highly Likely
76,18,Male,South America,173156,2.85,14,High Impact,Negative Impact,No Change,Highly Likely
77,66,Other,Europe,155579,20.85,8,Low Impact,No Growth,Decreased Competition,Highly Likely
78,46,Female,South America,129474,4.85,13,No Impact,No Growth,No Change,Highly Unlikely
79,20,Male,Australia,77034,1.21,13,Low Impact,No Growth,Increased Competition,Highly Unlikely
80,26,Female,South America,67367,6.88,4,Moderate Impact,Significant Growth,No Change,Unlikely
81,58,Other,South America,86979,29.42,7,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
82,45,Other,Australia,92805,29.43,13,Low Impact,Significant Growth,Increased Competition,Highly Likely
83,63,Female,North America,108862,17.78,5,High Impact,Negative Impact,No Change,Unlikely
84,37,Other,Australia,46149,3.93,3,No Impact,Negative Impact,Decreased Competition,Likely
85,19,Female,South America,35451,14.24,5,No Impact,Negative Impact,No Change,Likely
86,66,Male,Asia,38455,15.38,7,Low Impact,No Growth,No Change,Highly Likely
87,57,Female,Australia,170634,5.15,9,No Impact,Significant Growth,Decreased Competition,Highly Likely
88,51,Female,Australia,155564,1.29,12,Moderate Impact,Significant Growth,Increased Competition,Highly Likely
89,24,Male,Australia,46615,22.06,17,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
90,36,Male,Australia,80565,24.86,5,Moderate Impact,Negative Impact,Increased Competition,Likely
91,68,Other,Europe,66901,3.93,5,High Impact,Negative Impact,No Change,Unlikely
92,65,Male,South America,68438,18.52,11,High Impact,No Growth,Increased Competition,Highly Unlikely
93,69,Male,North America,147053,21.48,9,No Impact,Significant Growth,Decreased Competition,Likely
94,29,Female,South America,117298,9.19,19,Low Impact,Significant Growth,Increased Competition,Highly Unlikely
95,43,Male,North America,73905,25.65,0,Moderate Impact,Moderate Growth,Decreased Competition,Likely
96,45,Female,Asia,49332,2.07,8,High Impact,Significant Growth,Increased Competition,Unlikely
97,41,Male,Europe,58867,8.6,16,Low Impact,Significant Growth,No Change,Likely
98,36,Other,South America,197800,15.08,12,Low Impact,Negative Impact,Increased Competition,Likely
99,37,Other,North America,167294,10.49,5,No Impact,Negative Impact,No Change,Likely
100,54,Male,Europe,45401,21.97,4,High Impact,No Growth,Increased Competition,Highly Likely
101,59,Male,South America,197535,14.97,3,No Impact,Moderate Growth,No Change,Likely
102,25,Female,North America,123143,16.51,6,High Impact,No Growth,No Change,Highly Unlikely
103,51,Other,Europe,34560,14.31,13,Moderate Impact,No Growth,Increased Competition,Highly Unlikely
104,44,Female,Europe,120451,9.23,3,Low Impact,Negative Impact,Decreased Competition,Likely
105,32,Male,Asia,42115,10.63,9,Moderate Impact,No Growth,No Change,Highly Unlikely
106,24,Female,Europe,109908,8.97,0,Low Impact,Significant Growth,Decreased Competition,Highly Likely
107,46,Other,South America,196387,26.32,11,Moderate Impact,Significant Growth,Decreased Competition,Highly Unlikely
108,51,Female,Australia,58683,20.89,2,Low Impact,Negative Impact,Decreased Competition,Likely
109,29,Male,Europe,90009,24.14,4,Moderate Impact,No Growth,Increased Competition,Highly Likely
110,23,Male,North America,198008,22.85,2,Moderate Impact,Moderate Growth,Decreased Competition,Highly Likely
111,25,Female,South America,66380,12.39,14,High Impact,Significant Growth,Decreased Competition,Highly Likely
112,18,Male,Europe,30594,9.16,2,No Impact,Negative Impact,Decreased Competition,Likely
113,65,Other,South America,164346,16.9,11,No Impact,Negative Impact,Decreased Competition,Likely
114,33,Female,Europe,56830,10.11,16,Moderate Impact,Moderate Growth,No Change,Likely
115,22,Other,Asia,119054,18.36,0,Low Impact,No Growth,Decreased Competition,Highly Likely
116,30,Female,Asia,133185,26.31,12,Moderate Impact,Moderate Growth,No Change,Highly Likely
117,21,Other,Asia,81103,11.6,3,Moderate Impact,Significant Growth,No Change,Unlikely
118,69,Other,Europe,181606,17.08,12,Moderate Impact,No Growth,Decreased Competition,Unlikely
119,53,Female,Europe,51240,14.63,17,Low Impact,Negative Impact,Decreased Competition,Highly Likely
120,30,Other,South America,198861,28.27,9,High Impact,Moderate Growth,Decreased Competition,Highly Likely
121,61,Other,Asia,162327,23.78,12,Moderate Impact,Significant Growth,No Change,Highly Unlikely
122,37,Male,Asia,148684,7.7,16,Low Impact,Moderate Growth,Increased Competition,Highly Unlikely
123,52,Female,South America,88818,10.5,18,Low Impact,Significant Growth,Decreased Competition,Unlikely
124,69,Female,North America,80160,24.24,18,No Impact,No Growth,Increased Competition,Likely
125,59,Female,Asia,79930,9.6,0,High Impact,Significant Growth,Decreased Competition,Unlikely
126,37,Female,Australia,161215,23.98,11,Low Impact,Significant Growth,Increased Competition,Likely
127,24,Other,Europe,104377,6.19,17,High Impact,Moderate Growth,Decreased Competition,Highly Likely
128,41,Female,Europe,62770,18.6,18,High Impact,Moderate Growth,No Change,Likely
129,29,Female,Europe,195119,9.23,12,High Impact,Negative Impact,Decreased Competition,Highly Unlikely
130,33,Male,Australia,106593,17.2,19,No Impact,Significant Growth,No Change,Highly Unlikely
131,57,Male,South America,84198,29.72,11,Low Impact,No Growth,Decreased Competition,Highly Unlikely
132,43,Male,Asia,118973,25.14,4,Moderate Impact,No Growth,Increased Competition,Highly Likely
133,28,Other,Europe,53161,28.25,13,Low Impact,Significant Growth,Decreased Competition,Highly Unlikely
134,22,Female,South America,112032,3.91,0,Moderate Impact,Significant Growth,Decreased Competition,Unlikely
135,33,Male,North America,43846,12.21,15,No Impact,Moderate Growth,Increased Competition,Highly Likely
136,19,Other,North America,190398,6.66,16,No Impact,Moderate Growth,No Change,Highly Unlikely
137,53,Male,South America,30985,12.89,13,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
138,34,Female,Australia,101343,4.16,0,No Impact,Significant Growth,Increased Competition,Unlikely
139,58,Other,Australia,100280,17.23,9,No Impact,Moderate Growth,Increased Competition,Unlikely
140,29,Female,South America,155406,22.53,3,Low Impact,No Growth,Increased Competition,Likely
141,34,Male,South America,51527,13.7,0,Low Impact,No Growth,No Change,Unlikely
142,20,Male,Australia,162331,15.85,18,Moderate Impact,Moderate Growth,Increased Competition,Likely
143,28,Female,North America,35566,20.17,3,Moderate Impact,Moderate Growth,No Change,Unlikely
144,38,Other,South America,36741,7.37,3,No Impact,No Growth,No Change,Highly Likely
145,56,Female,South America,64327,4.45,10,High Impact,No Growth,Decreased Competition,Highly Unlikely
146,37,Other,Europe,107163,6.23,11,Low Impact,Negative Impact,Increased Competition,Highly Unlikely
147,58,Male,South America,128204,27.26,7,High Impact,No Growth,No Change,Highly Likely
148,31,Male,North America,76902,8.61,8,Low Impact,Moderate Growth,No Change,Likely
149,67,Female,Australia,197643,12.84,18,High Impact,Significant Growth,Increased Competition,Highly Likely
150,31,Male,Europe,89940,15.87,12,Low Impact,Moderate Growth,Decreased Competition,Unlikely
151,65,Female,North America,148270,16.49,4,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
152,41,Male,North America,186928,5.2,12,No Impact,No Growth,Increased Competition,Highly Unlikely
153,50,Male,North America,71608,17.55,16,No Impact,Significant Growth,Decreased Competition,Unlikely
154,39,Female,North America,78865,11.19,10,Low Impact,Negative Impact,Increased Competition,Unlikely
155,20,Other,South America,83830,9.47,5,Low Impact,Negative Impact,No Change,Unlikely
156,32,Male,Asia,87128,14.21,19,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
157,27,Other,Europe,160499,2.96,7,High Impact,Negative Impact,Increased Competition,Highly Likely
158,45,Other,Australia,142209,19.14,2,Moderate Impact,Significant Growth,No Change,Highly Likely
159,18,Male,Europe,46175,17.85,8,Low Impact,Significant Growth,Decreased Competition,Likely
160,39,Male,Europe,113417,22.69,8,Low Impact,Negative Impact,No Change,Likely
161,25,Female,Europe,146522,19.55,18,Moderate Impact,Significant Growth,No Change,Highly Unlikely
162,22,Female,South America,70244,13.69,1,Moderate Impact,No Growth,No Change,Unlikely
163,64,Other,Australia,181999,9.05,9,No Impact,Moderate Growth,No Change,Unlikely
164,67,Male,South America,99039,27.58,17,High Impact,Negative Impact,Decreased Competition,Highly Likely
165,53,Other,Asia,178571,5.44,17,Moderate Impact,Significant Growth,No Change,Highly Likely
166,26,Other,Asia,172760,26.76,2,No Impact,Negative Impact,Decreased Competition,Likely
167,45,Female,Australia,29253,2.28,7,No Impact,Negative Impact,Decreased Competition,Highly Likely
168,65,Male,South America,110898,29.86,19,Moderate Impact,Moderate Growth,No Change,Highly Unlikely
169,23,Other,Europe,84755,25.81,17,High Impact,Negative Impact,Decreased Competition,Unlikely
170,43,Male,Australia,138705,29.88,13,No Impact,No Growth,Increased Competition,Highly Unlikely
171,45,Other,South America,76533,11.86,10,Low Impact,Significant Growth,No Change,Highly Unlikely
172,27,Male,South America,41549,7.56,13,No Impact,Significant Growth,Increased Competition,Highly Likely
173,27,Other,Australia,136499,14.79,9,No Impact,No Growth,Increased Competition,Likely
174,25,Female,Asia,52909,22.01,16,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
175,44,Male,North America,64993,6.16,1,No Impact,Significant Growth,Decreased Competition,Highly Likely
176,49,Female,Asia,161151,18.77,4,Low Impact,Negative Impact,Increased Competition,Unlikely
177,69,Male,North America,180323,9.77,12,Low Impact,Moderate Growth,No Change,Highly Likely
178,61,Male,Asia,131845,3.57,10,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
179,63,Male,Asia,193164,14.56,19,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
180,48,Female,Australia,76518,15.99,17,High Impact,Moderate Growth,Decreased Competition,Likely
181,41,Female,Europe,156369,8.39,0,High Impact,Significant Growth,No Change,Likely
182,25,Other,South America,142107,5.06,14,Low Impact,Negative Impact,No Change,Highly Likely
183,41,Female,South America,113468,21.96,17,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
184,52,Other,South America,92947,25.29,16,Low Impact,No Growth,No Change,Unlikely
185,35,Other,Europe,29111,28.75,17,Low Impact,No Growth,Decreased Competition,Highly Likely
186,58,Other,Asia,116488,19.29,12,No Impact,No Growth,No Change,Likely
187,56,Other,South America,36928,28.0,10,Low Impact,Significant Growth,Increased Competition,Highly Likely
188,40,Male,North America,95951,15.11,17,Moderate Impact,Moderate Growth,Decreased Competition,Highly Likely
189,33,Female,North America,168839,3.08,7,No Impact,Significant Growth,Decreased Competition,Unlikely
190,45,Female,South America,69546,2.12,9,No Impact,No Growth,Decreased Competition,Highly Likely
191,32,Female,North America,46116,16.03,7,High Impact,No Growth,No Change,Highly Likely
192,53,Male,South America,72832,7.86,1,Low Impact,Moderate Growth,No Change,Unlikely
193,63,Male,Asia,47034,15.06,19,Moderate Impact,Significant Growth,No Change,Highly Likely
194,57,Male,Asia,60372,19.28,2,Moderate Impact,Negative Impact,No Change,Unlikely
195,24,Other,Asia,182714,6.15,5,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
196,50,Other,Asia,121603,13.91,8,Low Impact,Moderate Growth,Decreased Competition,Unlikely
197,45,Other,South America,171599,2.61,3,High Impact,Negative Impact,Increased Competition,Highly Likely
198,42,Male,Asia,125965,9.98,8,Moderate Impact,Negative Impact,Decreased Competition,Likely
199,53,Other,Europe,199919,1.49,7,Low Impact,No Growth,No Change,Highly Likely
200,33,Female,Europe,52074,14.18,6,No Impact,Moderate Growth,No Change,Highly Likely
201,69,Other,North America,174834,12.01,17,Low Impact,Moderate Growth,Increased Competition,Highly Likely
202,64,Female,Europe,158458,3.22,0,No Impact,No Growth,No Change,Unlikely
203,59,Male,Europe,122134,12.94,6,Low Impact,No Growth,Decreased Competition,Unlikely
204,59,Male,Asia,199748,5.25,12,No Impact,Negative Impact,Increased Competition,Unlikely
205,27,Female,Australia,132551,6.41,19,High Impact,No Growth,No Change,Highly Likely
206,58,Male,Europe,29395,1.02,5,High Impact,Significant Growth,Decreased Competition,Likely
207,30,Female,Europe,32003,7.62,14,No Impact,Moderate Growth,Decreased Competition,Unlikely
208,38,Male,Asia,183257,17.44,9,Low Impact,No Growth,Decreased Competition,Unlikely
209,21,Female,Australia,160744,24.62,13,Moderate Impact,Moderate Growth,No Change,Likely
210,52,Male,South America,185133,27.47,1,High Impact,Significant Growth,Decreased Competition,Unlikely
211,63,Other,Asia,111660,15.82,9,High Impact,No Growth,No Change,Highly Likely
212,39,Male,Europe,34889,24.05,14,No Impact,Significant Growth,Decreased Competition,Likely
213,34,Male,Europe,161673,22.63,16,Moderate Impact,Significant Growth,Increased Competition,Unlikely
214,35,Female,Australia,129517,19.1,15,No Impact,Negative Impact,Increased Competition,Highly Likely
215,25,Male,North America,104181,10.73,15,No Impact,Significant Growth,Decreased Competition,Unlikely
216,50,Male,Asia,32444,20.37,12,Low Impact,Negative Impact,Increased Competition,Highly Unlikely
217,20,Other,North America,41520,11.95,9,Low Impact,Moderate Growth,No Change,Highly Likely
218,60,Female,Australia,136981,9.69,12,Low Impact,Significant Growth,Decreased Competition,Highly Unlikely
219,67,Female,Australia,83118,25.83,15,Moderate Impact,No Growth,Increased Competition,Likely
220,39,Female,North America,158824,16.3,4,Moderate Impact,Moderate Growth,Decreased Competition,Likely
221,60,Male,Asia,96545,19.21,1,No Impact,Significant Growth,No Change,Unlikely
222,47,Male,Europe,60543,26.97,5,No Impact,Significant Growth,Increased Competition,Unlikely
223,46,Female,Australia,79658,4.22,1,No Impact,No Growth,No Change,Highly Likely
224,40,Male,Europe,195531,21.4,7,Moderate Impact,Moderate Growth,No Change,Highly Likely
225,49,Male,North America,54553,17.44,8,Moderate Impact,Moderate Growth,Increased Competition,Highly Likely
226,20,Male,South America,129095,16.93,10,No Impact,Negative Impact,Increased Competition,Highly Likely
227,60,Other,Asia,159200,12.83,1,No Impact,Negative Impact,No Change,Highly Likely
228,64,Female,Australia,84356,26.14,7,High Impact,Negative Impact,No Change,Unlikely
229,49,Female,North America,130666,22.12,13,High Impact,Significant Growth,Increased Competition,Likely
230,35,Male,Europe,146681,3.08,7,High Impact,Moderate Growth,Increased Competition,Likely
231,19,Female,Asia,90678,23.86,3,High Impact,No Growth,No Change,Highly Unlikely
232,59,Other,South America,121502,9.12,6,No Impact,No Growth,Increased Competition,Unlikely
233,39,Other,Australia,88288,19.12,18,High Impact,Moderate Growth,Increased Competition,Unlikely
234,43,Other,North America,97155,27.3,0,High Impact,No Growth,Decreased Competition,Highly Likely
235,30,Male,Australia,192620,24.83,7,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
236,44,Other,Asia,66341,10.07,12,Moderate Impact,Significant Growth,Decreased Competition,Unlikely
237,26,Female,South America,113534,8.65,4,Moderate Impact,Moderate Growth,Decreased Competition,Unlikely
238,40,Male,North America,158729,25.5,15,Low Impact,Negative Impact,Increased Competition,Highly Likely
239,65,Other,North America,39449,13.57,7,High Impact,Moderate Growth,Increased Competition,Highly Unlikely
240,57,Female,South America,176449,22.76,19,No Impact,Significant Growth,No Change,Highly Likely
241,25,Other,Europe,175207,2.5,8,Moderate Impact,Significant Growth,Increased Competition,Unlikely
242,24,Other,Australia,105474,24.29,12,High Impact,Moderate Growth,Increased Competition,Unlikely
243,53,Other,Australia,175764,11.69,8,High Impact,Negative Impact,Decreased Competition,Likely
244,28,Other,Europe,70065,19.23,8,Moderate Impact,Negative Impact,Decreased Competition,Unlikely
245,69,Other,South America,171542,19.02,16,Moderate Impact,Negative Impact,Decreased Competition,Likely
246,64,Male,Australia,63939,13.03,19,Moderate Impact,No Growth,No Change,Likely
247,20,Female,Asia,69980,13.11,14,Low Impact,No Growth,No Change,Likely
248,20,Female,South America,134820,10.84,3,No Impact,Negative Impact,Increased Competition,Highly Unlikely
249,34,Other,Asia,49260,8.03,7,Low Impact,Negative Impact,Decreased Competition,Likely
250,21,Other,Europe,173910,12.97,2,No Impact,Moderate Growth,Increased Competition,Highly Likely
251,21,Female,Asia,173004,3.1,2,High Impact,Negative Impact,Decreased Competition,Highly Likely
252,42,Other,Australia,79011,19.94,3,High Impact,Significant Growth,Increased Competition,Highly Likely
253,46,Other,Asia,47042,22.63,8,No Impact,Significant Growth,Decreased Competition,Likely
254,48,Female,Asia,25346,12.03,18,Low Impact,No Growth,Increased Competition,Unlikely
255,25,Male,North America,187520,12.66,19,No Impact,Moderate Growth,No Change,Highly Likely
256,45,Male,Australia,166676,6.38,10,No Impact,Moderate Growth,Decreased Competition,Highly Unlikely
257,22,Female,Europe,157825,15.61,16,No Impact,Moderate Growth,Decreased Competition,Highly Likely
258,63,Female,Europe,117580,4.7,1,Low Impact,No Growth,Increased Competition,Highly Likely
259,43,Male,Australia,196041,11.57,15,No Impact,Moderate Growth,Increased Competition,Unlikely
260,51,Other,South America,49486,9.3,2,High Impact,Significant Growth,Increased Competition,Highly Unlikely
261,22,Male,Asia,60919,24.56,16,Moderate Impact,Significant Growth,No Change,Unlikely
262,62,Female,South America,134224,14.29,14,High Impact,No Growth,Increased Competition,Highly Likely
263,25,Other,Australia,139114,25.25,0,Low Impact,Moderate Growth,Decreased Competition,Unlikely
264,66,Female,South America,101485,10.04,0,Moderate Impact,No Growth,No Change,Unlikely
265,57,Female,Australia,59513,22.7,3,Moderate Impact,Moderate Growth,No Change,Highly Unlikely
266,63,Other,South America,198184,2.6,17,No Impact,Moderate Growth,Decreased Competition,Highly Unlikely
267,21,Male,South America,41915,2.34,14,High Impact,Significant Growth,Decreased Competition,Likely
268,32,Female,Australia,93128,11.26,19,High Impact,No Growth,Increased Competition,Unlikely
269,65,Female,Europe,78169,17.53,3,High Impact,Negative Impact,Increased Competition,Highly Unlikely
270,36,Male,Europe,148037,17.1,18,No Impact,No Growth,Increased Competition,Highly Likely
271,47,Female,Europe,41635,19.2,18,No Impact,Significant Growth,No Change,Likely
272,46,Male,Australia,112631,20.23,3,Moderate Impact,Moderate Growth,No Change,Likely
273,23,Female,Europe,34972,4.93,17,Moderate Impact,No Growth,No Change,Likely
274,28,Female,South America,28450,23.99,6,High Impact,Significant Growth,No Change,Likely
275,38,Male,Australia,195011,15.21,11,No Impact,No Growth,Increased Competition,Highly Unlikely
276,31,Other,Asia,99176,7.32,16,Low Impact,Moderate Growth,No Change,Highly Likely
277,35,Female,South America,172289,1.5,7,Low Impact,Significant Growth,No Change,Unlikely
278,27,Male,Asia,121417,18.27,16,Moderate Impact,No Growth,Increased Competition,Highly Likely
279,37,Female,Australia,145113,5.28,0,High Impact,Moderate Growth,Decreased Competition,Highly Likely
280,64,Male,South America,174071,18.68,9,Moderate Impact,Significant Growth,No Change,Highly Unlikely
281,55,Male,Europe,168904,6.19,3,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
282,50,Other,North America,77179,2.2,8,Low Impact,Negative Impact,Decreased Competition,Unlikely
283,20,Male,Europe,157281,12.58,12,No Impact,Negative Impact,Decreased Competition,Highly Unlikely
284,25,Other,Asia,132366,27.13,5,High Impact,Significant Growth,Increased Competition,Likely
285,57,Other,Australia,134655,14.26,17,Low Impact,Negative Impact,Decreased Competition,Highly Unlikely
286,30,Other,Asia,171655,26.8,11,Low Impact,Moderate Growth,No Change,Highly Unlikely
287,30,Male,South America,102760,8.13,3,No Impact,Significant Growth,Increased Competition,Unlikely
288,52,Female,Europe,89929,6.56,12,High Impact,Negative Impact,Increased Competition,Likely
289,58,Male,Europe,53948,6.33,15,No Impact,Moderate Growth,Decreased Competition,Unlikely
290,25,Female,Australia,104429,17.13,8,High Impact,Significant Growth,Decreased Competition,Likely
291,24,Other,North America,166307,29.78,11,Low Impact,Moderate Growth,Increased Competition,Highly Likely
292,60,Other,Europe,178810,28.41,9,Moderate Impact,Significant Growth,No Change,Highly Likely
293,29,Other,North America,116337,6.62,11,Low Impact,Significant Growth,Decreased Competition,Likely
294,31,Female,North America,65178,8.39,2,No Impact,Moderate Growth,Increased Competition,Unlikely
295,35,Other,Australia,77673,9.02,4,High Impact,Significant Growth,Decreased Competition,Highly Likely
296,41,Male,Australia,165046,14.53,6,Low Impact,Negative Impact,Decreased Competition,Highly Likely
297,56,Other,Europe,123492,27.31,14,Low Impact,Negative Impact,Decreased Competition,Likely
298,56,Other,Australia,95096,24.47,12,No Impact,Significant Growth,Decreased Competition,Highly Likely
299,58,Male,Europe,172709,5.36,9,Moderate Impact,Significant Growth,No Change,Highly Unlikely
300,39,Male,Asia,118178,10.07,11,Low Impact,Moderate Growth,Decreased Competition,Likely
301,50,Male,North America,76460,20.15,5,Low Impact,Negative Impact,Increased Competition,Highly Likely
302,61,Male,North America,126129,10.44,10,Moderate Impact,Significant Growth,No Change,Highly Unlikely
